 1.39001164e-04 -6.50152470e-01  1.39001164e-04 -1.53468708e+00 
 1.40251164e-04 -6.50148561e-01  1.40251164e-04 -1.53466420e+00 
 1.41501164e-04 -6.50144652e-01  1.41501164e-04 -1.53464132e+00 
 1.42751164e-04 -6.50140742e-01  1.42751164e-04 -1.53461845e+00 
 1.44001164e-04 -6.50136832e-01  1.44001164e-04 -1.53459557e+00 
 1.45251164e-04 -6.50132921e-01  1.45251164e-04 -1.53457270e+00 
 1.46501164e-04 -6.50129009e-01  1.46501164e-04 -1.53454983e+00 
 1.47751164e-04 -6.50125098e-01  1.47751164e-04 -1.53452696e+00 
 1.49001164e-04 -6.50121186e-01  1.49001164e-04 -1.53450410e+00 
 1.50251164e-04 -6.50117273e-01  1.50251164e-04 -1.53448124e+00 
 1.51501164e-04 -6.50113361e-01  1.51501164e-04 -1.53445838e+00 
 1.52751164e-04 -6.50109447e-01  1.52751164e-04 -1.53443552e+00 
 1.54001164e-04 -6.50105533e-01  1.54001164e-04 -1.53441266e+00 
 1.55251164e-04 -6.50101619e-01  1.55251164e-04 -1.53438981e+00 
 1.56501164e-04 -6.50097705e-01  1.56501164e-04 -1.53436695e+00 
 1.57751164e-04 -6.50093790e-01  1.57751164e-04 -1.53434410e+00 
 1.59001164e-04 -6.50089875e-01  1.59001164e-04 -1.53432125e+00 
 1.60251164e-04 -6.50085960e-01  1.60251164e-04 -1.53429840e+00 
 1.61501164e-04 -6.50082044e-01  1.61501164e-04 -1.53427556e+00 
 1.62751164e-04 -6.50078129e-01  1.62751164e-04 -1.53425271e+00 
 1.64001164e-04 -6.50074212e-01  1.64001164e-04 -1.53422986e+00 
 1.65251164e-04 -6.50070296e-01  1.65251164e-04 -1.53420702e+00 
 1.66501164e-04 -6.50066380e-01  1.66501164e-04 -1.53418417e+00 
 1.67751164e-04 -6.50062463e-01  1.67751164e-04 -1.53416133e+00 
 1.69001164e-04 -6.50058547e-01  1.69001164e-04 -1.53413849e+00 
 1.70251164e-04 -6.50054630e-01  1.70251164e-04 -1.53411565e+00 
 1.71501164e-04 -6.50050713e-01  1.71501164e-04 -1.53409281e+00 
 1.72751164e-04 -6.50046796e-01  1.72751164e-04 -1.53406997e+00 
 1.74001164e-04 -6.50042879e-01  1.74001164e-04 -1.53404713e+00 
 1.75251164e-04 -6.50038962e-01  1.75251164e-04 -1.53402430e+00 
 1.76501164e-04 -6.50035044e-01  1.76501164e-04 -1.53400146e+00 
 1.77751164e-04 -6.50031126e-01  1.77751164e-04 -1.53397862e+00 
 1.79001164e-04 -6.50027209e-01  1.79001164e-04 -1.53395579e+00 
 1.80251164e-04 -6.50023291e-01  1.80251164e-04 -1.53393295e+00 
 1.81501164e-04 -6.50019372e-01  1.81501164e-04 -1.53391012e+00 
 1.82751164e-04 -6.50015454e-01  1.82751164e-04 -1.53388728e+00 
 1.84001164e-04 -6.50011536e-01  1.84001164e-04 -1.53386445e+00 
 1.85251164e-04 -6.50007618e-01  1.85251164e-04 -1.53384162e+00 
 1.86501164e-04 -6.50003700e-01  1.86501164e-04 -1.53381879e+00 
 1.87751164e-04 -6.49999781e-01  1.87751164e-04 -1.53379595e+00 
 1.89001164e-04 -6.49995863e-01  1.89001164e-04 -1.53377312e+00 
 1.90251164e-04 -6.49991944e-01  1.90251164e-04 -1.53375029e+00 
