theta_deg,C1_pF,C2_pF,T_varicap_mNm,T_shuttle_mNm,T_cem_mNm,tier
16.167,137.73,158.27,-0.0000,0.0000,0.0000,OC
16.250,137.00,159.00,-4955.0339,0.0000,0.0000,OC
16.333,136.27,159.73,2477.5170,0.0000,0.0000,OC
16.417,135.53,160.47,4971.4413,0.0000,0.0000,OC
16.500,134.80,161.20,-2493.9244,0.0000,0.0000,OC
16.583,134.07,161.93,-2493.9244,0.0000,0.0000,OC
16.667,133.33,162.67,2510.3318,0.0000,0.0000,OC
16.750,132.60,163.40,-0.0000,0.0000,0.0000,OC
16.833,131.87,164.13,-0.0000,0.0000,0.0000,OC
16.917,131.13,164.87,-0.0000,0.0000,0.0000,OC
17.000,130.40,165.60,-2543.1466,0.0000,0.0000,OC
17.083,129.67,166.33,-0.0000,0.0000,0.0000,OC
17.167,128.93,167.07,2543.1466,0.0000,0.0000,OC
17.250,128.20,167.80,-2543.1466,0.0000,0.0000,OC
17.333,127.47,168.53,-0.0000,0.0000,0.0000,OC
17.417,126.73,169.27,2559.5540,0.0000,0.0000,OC
17.500,126.00,170.00,-5135.5153,0.0000,0.0000,OC
17.583,125.27,170.73,2575.9614,0.0000,0.0000,OC
17.667,124.53,171.47,5168.3301,0.0000,0.0000,OC
17.750,123.80,172.20,-2592.3687,0.0000,0.0000,OC
17.833,123.07,172.93,-2592.3687,0.0000,0.0000,OC
17.917,122.33,173.67,2608.7761,0.0000,0.0000,OC
18.000,121.60,174.40,-0.0000,0.0000,0.0000,OC
18.083,120.87,175.13,-0.0000,0.0000,0.0000,OC
18.167,120.13,175.87,2625.1835,0.0000,0.0000,OC
18.250,119.40,176.60,-5250.3671,0.0000,0.0000,OC
18.333,118.67,177.33,2625.1835,0.0000,0.0000,OC
18.417,117.93,178.07,5283.1819,0.0000,0.0000,OC
18.500,117.20,178.80,-5283.1819,0.0000,0.0000,OC
18.583,116.47,179.53,-2657.9983,0.0000,0.0000,OC
18.667,115.73,180.27,1312.5918,0.0000,0.0000,OC
18.750,115.00,181.00,-0.0000,0.0000,0.0000,OC
18.833,114.27,181.73,-0.0000,0.0000,0.0000,OC
18.917,113.53,182.47,-1345.4066,0.0000,0.0000,OC
19.000,112.80,183.20,-2690.8131,0.0000,0.0000,OC
19.083,112.07,183.93,1345.4066,0.0000,0.0000,OC
19.167,111.33,184.67,5381.6263,0.0000,0.0000,OC
19.250,110.60,185.40,-4069.0345,0.0000,0.0000,OC
19.333,109.87,186.13,-1345.4066,0.0000,0.0000,OC
19.417,109.13,186.87,2723.6279,0.0000,0.0000,OC
19.500,108.40,187.60,-5447.2559,0.0000,0.0000,OC
19.583,107.67,188.33,-0.0000,0.0000,0.0000,OC
19.667,106.93,189.07,5480.0706,0.0000,0.0000,OC
19.750,106.20,189.80,-1378.2214,0.0000,0.0000,OC
19.833,105.47,190.53,-0.0000,0.0000,0.0000,OC
19.917,104.73,191.27,2756.4427,0.0000,0.0000,OC
20.000,104.00,192.00,-2756.4427,0.0000,0.0000,OC
20.083,103.27,192.73,-0.0000,0.0000,0.0000,OC
20.167,102.53,193.47,2756.4427,0.0000,0.0000,OC
20.250,101.80,194.20,-5578.5150,0.0000,0.0000,OC
20.333,101.07,194.93,1378.2214,0.0000,0.0000,OC
20.417,100.33,195.67,5578.5150,0.0000,0.0000,OC
20.500,99.60,196.40,-2789.2575,0.0000,0.0000,OC
20.583,98.87,197.13,-2822.0723,0.0000,0.0000,OC
20.667,98.13,197.87,2789.2575,0.0000,0.0000,OC
20.750,97.40,198.60,1411.0362,0.0000,0.0000,OC
20.833,96.67,199.33,-0.0000,0.0000,0.0000,OC
20.917,95.93,200.07,-0.0000,0.0000,0.0000,OC
21.000,95.20,200.80,-5709.7742,0.0000,0.0000,OC
21.083,94.47,201.53,2854.8871,0.0000,0.0000,OC
21.167,93.73,202.27,5709.7742,0.0000,0.0000,OC
21.250,93.00,203.00,-5709.7742,0.0000,0.0000,OC
21.333,92.27,203.73,-1443.8509,0.0000,0.0000,OC
21.417,91.53,204.47,2854.8871,0.0000,0.0000,OC
21.500,90.80,205.20,-0.0000,0.0000,0.0000,OC
21.583,90.07,205.93,-0.0000,0.0000,0.0000,OC
21.667,89.33,206.67,-0.0000,0.0000,0.0000,OC
21.750,88.60,207.40,-2920.5167,0.0000,0.0000,OC
21.833,87.87,208.13,-0.0000,0.0000,0.0000,OC
21.917,87.13,208.87,4364.3676,0.0000,0.0000,OC
22.000,86.40,209.60,-2920.5167,0.0000,0.0000,OC
22.083,85.67,210.33,-0.0000,0.0000,0.0000,OC
22.167,84.93,211.07,2953.3315,0.0000,0.0000,OC
22.250,84.20,211.80,-5906.6630,0.0000,0.0000,OC
22.333,83.47,212.53,1476.6657,0.0000,0.0000,OC
22.417,82.73,213.27,5906.6630,0.0000,0.0000,OC
22.500,82.00,214.00,-4429.9972,0.0000,0.0000,OC
22.583,81.27,214.73,-2953.3315,0.0000,0.0000,OC
22.667,80.53,215.47,2953.3315,0.0000,0.0000,OC
22.750,79.80,216.20,-0.0000,0.0000,0.0000,OC
22.833,79.07,216.93,1509.4805,0.0000,0.0000,OC
22.917,78.33,217.67,2986.1463,0.0000,0.0000,OC
23.000,77.60,218.40,-6005.1074,0.0000,0.0000,OC
23.083,76.87,219.13,1509.4805,0.0000,0.0000,OC
23.167,76.13,219.87,6037.9221,0.0000,0.0000,OC
23.250,75.40,220.60,-6070.7369,0.0000,0.0000,OC
23.333,74.67,221.33,-3018.9611,0.0000,0.0000,OC
23.417,73.93,222.07,6070.7369,0.0000,0.0000,OC
23.500,73.20,222.80,-0.0000,0.0000,0.0000,OC
23.583,72.47,223.53,1542.2953,0.0000,0.0000,OC
23.667,71.73,224.27,-0.0000,0.0000,0.0000,OC
23.750,71.00,225.00,-6136.3665,0.0000,0.0000,OC
23.833,70.27,225.73,4594.0712,0.0000,0.0000,OC
23.917,69.53,226.47,6169.1813,0.0000,0.0000,OC
24.000,68.80,227.20,-6201.9961,0.0000,0.0000,OC
