gap,dtheta_deg,r_mm,d_ball_mm,rpm,overlap_deg,t_overlap_us,t_need_us,spacing_deg,A1_fits,A1_margin_us,A2_nocross,A2_margin_deg,A3_envelope,A4_strike,eta_real,viable
SG3b,-6,450,20,3000,2.801,155.62,4.30,2.85,True,151.3,True,0.05,True,True,0.7019,True
SG3b,-6,450,20,4500,2.801,103.75,4.30,2.85,True,99.4,True,0.05,True,True,0.7038,True
SG3b,-6,450,20,6000,2.801,77.81,4.30,2.85,True,73.5,True,0.05,True,True,0.7048,True
SG3b,-6,491,4,3000,0.700,38.90,4.30,2.85,True,34.6,True,2.15,True,True,0.7063,True
SG3b,-6,491,4,4500,0.700,25.93,4.30,2.85,True,21.6,True,2.15,True,True,0.7068,True
SG3b,-6,491,4,6000,0.700,19.45,4.30,2.85,True,15.1,True,2.15,True,True,0.7070,True
SG3b,-6,491,8,3000,1.167,64.83,4.30,2.85,True,60.5,True,1.68,True,True,0.7053,True
SG3b,-6,491,8,4500,1.167,43.22,4.30,2.85,True,38.9,True,1.68,True,True,0.7061,True
SG3b,-6,491,8,6000,1.167,32.41,4.30,2.85,True,28.1,True,1.68,True,True,0.7065,True
SG3b,-6,491,12,3000,1.634,90.76,4.30,2.85,True,86.5,True,1.22,True,True,0.7043,True
SG3b,-6,491,12,4500,1.634,60.51,4.30,2.85,True,56.2,True,1.22,True,True,0.7055,True
SG3b,-6,491,12,6000,1.634,45.38,4.30,2.85,True,41.1,True,1.22,True,True,0.7060,True
SG3b,-6,491,16,3000,2.100,116.69,4.30,2.85,True,112.4,True,0.75,True,True,0.7033,True
SG3b,-6,491,16,4500,2.100,77.79,4.30,2.85,True,73.5,True,0.75,True,True,0.7048,True
SG3b,-6,491,16,6000,2.100,58.35,4.30,2.85,True,54.0,True,0.75,True,True,0.7055,True
SG3b,-6,491,20,3000,2.567,142.62,4.30,2.85,True,138.3,True,0.28,True,True,0.7024,True
SG3b,-6,491,20,4500,2.567,95.08,4.30,2.85,True,90.8,True,0.28,True,True,0.7042,True
SG3b,-6,491,20,6000,2.567,71.31,4.30,2.85,True,67.0,True,0.28,True,True,0.7050,True
SG3b,-4,250,4,3000,1.375,76.39,4.30,4.85,True,72.1,True,3.47,True,True,0.7049,True
SG3b,-4,250,4,4500,1.375,50.93,4.30,4.85,True,46.6,True,3.47,True,True,0.7058,True
SG3b,-4,250,4,6000,1.375,38.20,4.30,4.85,True,33.9,True,3.47,True,True,0.7063,True
SG3b,-4,250,8,3000,2.292,127.32,4.30,4.85,True,123.0,True,2.56,True,True,0.7029,True
SG3b,-4,250,8,4500,2.292,84.88,4.30,4.85,True,80.6,True,2.56,True,True,0.7045,True
SG3b,-4,250,8,6000,2.292,63.66,4.30,4.85,True,59.4,True,2.56,True,True,0.7053,True
SG3b,-4,250,12,3000,3.209,178.25,4.30,4.85,True,174.0,True,1.64,True,True,0.7010,True
